Mark	Description	Section	Grade	Length
1008	BEAM	UB406*140*46	S275J0	7200
1008	BEAM	UB406*140*46	S275J0	7200
1006	BEAM	UB178*102*19	S275J0	7200
1006	BEAM	UB178*102*19	S275J0	7200
1005	BEAM	UB610*229*101	S275J0	7200
1005	BEAM	UB610*229*101	S275J0	7200
1007	BEAM	UB406*140*46	S275J0	6000
1007	BEAM	UB406*140*46	S275J0	6000
1004	BEAM	UB356*171*51	S275J0	6000
1004	BEAM	UB356*171*51	S275J0	6000
1007	BEAM	UB406*140*46	S275J0	6000
1007	BEAM	UB406*140*46	S275J0	6000
1003	COL	UC305*305*97	S275J0	5000
1003	COL	UC305*305*97	S275J0	5000
1003	COL	UC305*305*97	S275J0	5000
1002	COL	UC356*368*153	S275J0	5000
1002	COL	UC356*368*153	S275J0	5000
1002	COL	UC356*368*153	S275J0	5000
1001	COL	UC254*254*73	S275J0	5000
1001	COL	UC254*254*73	S275J0	5000
1001	COL	UC254*254*73	S275J0	5000
